sp.P62593.BLAT_ECOLX,sp.P21424.TNR4_KLEPN...sp.P13606.RES4_ECOLX,sp.P03008.TNP3_ECOLX...sp.Q00037.TNPA_ECOLI,group_214,sp.Q56897.TRA8_YEREN,group_221,group_254,sp.Q6G4C3.RNH_BARHE...sp.Q2NVF9.RNH_SODGM...sp.Q6D1V7.RNH_PECAS,group_72,group_54,group_49,sp.O68770.DPO3A_YERPE,group_131,sp.P06694.TNP2_ECOLX,group_527,sp.P64465.YDFZ_ECO57...sp.P64466.YDFZ_SHIFL...sp.P64463.YDFZ_ECOLI,sp.P0AA23.EBR_SALTM,group_99,group_400,group_296,group_97,group_369,group_490,sp.P78218.DYR15_ECOLX...sp.P11731.DYR5_ECOLX,sp.P62591.INT2_PSEAI,group_248,group_3,group_597,sp.Q49184.DHP1_MYCFO,group_298,group_182,sp.P43754.RIR1_HAEIN...sp.P37426.RIR1_SALTY...sp.Q89AS4.RIR1_BUCBP...sp.Q8K9W3.RIR1_BUCAP,group_61,group_8,group_242,sp.P0A9K1.PHOH_ECOLI,sp.P0A043.T431_STAAM...sp.P0A045.T431_STAAW,group_143,sp.P03014.PINE_ECOLI,group_591,group_232,sp.P68688.GLRX1_ECOLI...sp.P68689.GLRX1_SHIFL...sp.P45242.GLRX_HAEIN,sp.P43755.RIR2_HAEIN,group_522,group_600,group_305,group_259,group_52,group_109,group_258,group_249,group_598,sp.P26837.YPS1_ECOLX,group_100,group_112,group_107,group_87,group_65,group_154,group_494,group_149,group_227,sp.P0C1L0.T431_STAA8,group_216,group_213,group_78,group_76,group_138,sp.P16940.YIS2_SHISO...sp.Q47718.INSO2_ECOLI,group_79,sp.P75436.T1MD_MYCPN,group_13,sp.P03009.TRA2_ECOLX,group_47,group_122,sp.P57998.INSB4_ECOLI,group_40,group_108,group_583,group_219,group_283,sp.P51026.YI2A_ECOLX,sp.P33343.YEHD_ECOLI,sp.P33342.YEHC_ECOLI,sp.P33341.YEHB_ECOLI,group_174,group_223,group_115,group_279,sp.P10484.T1M1_ECOLX...sp.Q47163.T1MP_ECOLX,sp.P10486.T1R1_ECOLX,sp.P77515.STFQ_ECOLI...sp.P76072.STFR_ECOLI,sp.P0AG11.UMUD_ECOLI...sp.P0AG13.UMUD_SHIFL,group_300,sp.Q79E92.YKGN_ECOLI,group_590,group_125,group_194,group_269,group_224,group_498,group_284,group_282,group_1,group_233,group_277,group_4,group_264,sp.P06694.TNP2_ECOLX...sp.P51565.TNP9_ECOLX...sp.P13694.TNP7_ECOLX,group_275,group_48,sp.P25438.YI61_XANEU,sp.P24580.YI74_BURM1...sp.P17985.YIA3_RHISP,group_41,sp.Q6F754.GBTR_ACIAD,group_245,sp.P0A5E4.Y1321_MYCBO...sp.P9WM35.Y1290_MYCTU,group_297,group_247,group_66,group_94,group_101,group_46,sp.P74007.SPOT_SYNY3,group_302,group_137,group_307,group_308,group_253,group_183,group_37,group_250,group_157,group_292,group_60,group_63,group_27,group_34,group_262,group_38,group_9,group_273,group_5,group_73,sp.A9R2J1.XNI_YERPG,group_546,group_128,group_625,group_303,group_134,sp.P77515.STFQ_ECOLI,group_313,group_53,group_59,sp.Q1RK58.PLD_RICBR,group_607,group_14,group_195,group_294,group_608,group_274,sp.Q45618.TRA6_GEOSE...sp.P15026.ISTB_PSEAI,group_121,group_500,sp.Q45618.TRA6_GEOSE,sp.P15026.ISTB_PSEAI,sp.P26926.CAF1M_YERPE,sp.P26949.CAF1A_YERPE,sp.P26950.CAF1R_YERPE,sp.P26948.CAF1_YERPE,sp.P76072.STFR_ECOLI...sp.P77515.STFQ_ECOLI,group_566,group_574,group_447,group_24,group_82,sp.O82898.YUBF_ECO57,group_208,sp.Q52563.STBA_PSEUB,group_285,group_410,sp.Q47688.YKFC_ECOLI,group_191,group_257,sp.P55615.Y4PF_SINFN...sp.Q9HI37.TPF20_PSEAE,sp.Q9S4X2.YUBD_ECOLI,sp.Q9S4X1.YUBE_ECOLI,sp.P37415.YTL2_SALTY,group_241,sp.P23832.SAMB_SALTM,group_226,group_397,sp.P07620.PARA_ECOLX,group_6,sp.P0A248.VIRB_SHISO,group_263,sp.P80011.TRA3_RHIME...sp.P55620.Y4PO_SINFN,group_85,group_349,group_198,group_188,group_178,sp.P76155.TFAQ_ECOLI,sp.C0SP84.YTLA_BACSU,group_549,group_175,group_33,group_523,group_204,sp.Q9ZGR8.YUBM_ECO57,group_234,sp.O82899.YUBG_ECO57...sp.Q9S4W9.YUBG_ECOLI,group_58,group_225,sp.P59696.T200_SALTY,group_237,group_15,sp.Q1CC63.YUBL_YERPN,group_516,group_291,group_111,group_117,group_147,group_132,sp.Q9A6H0.TYSY_CAUVC...sp.Q6YQT0.TYSY_ONYPE,group_127,sp.Q8DKG1.COAE_THEEB,group_133,group_139,group_45,group_144,sp.P11045.DYR_BACSU...sp.Q59408.DYR13_ECOLX,group_160,group_252,group_312,group_25,group_83,group_77
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,#76c3ff,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,#001106,#001106,X,#001106,X,#001106,#001106,#001106,#001106,#001106,X,#001106,#001106,#001106,X,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#01ca10,#01ca10,#01ca10,#e56800,#e56800,#0005a7,#0005a7,#0005a7,#0005a7,#0a3700,#0a3700,#0245ec,X,#0245ec,#0245ec,X,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,X,X,#0245ec,#0245ec,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,#76c3ff,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,#001106,#001106,X,#001106,X,#001106,#001106,#001106,#001106,#001106,X,#001106,#001106,#001106,X,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#01ca10,#01ca10,#01ca10,#e56800,#e56800,#0005a7,#0005a7,#0005a7,#0005a7,#0a3700,#0a3700,#0245ec,X,#0245ec,#0245ec,X,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,#0245ec,X,X,#0245ec,#0245ec,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,#76c3ff,X,X,#76c3ff,#76c3ff,X,#76c3ff,X,#76c3ff,X,#76c3ff,X,#76c3ff,X,X,X,X,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,X,#001106,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,#0245ec,X,X,X,#0245ec,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,X,#76c3ff,#76c3ff,X,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,X,X,#76c3ff,#76c3ff,X,X,#76c3ff,#76c3ff,X,X,X,#76c3ff,X,X,X,#76c3ff,X,X,X,X,X,X,#001106,#001106,X,X,X,X,#001106,#001106,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,X,#7c0051,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,#76c3ff,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,#001106,#001106,X,#001106,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,X,#0245ec,X,X,X,X,X,X,#0245ec,#0245ec,#0245ec,#0245ec,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,#0245ec,X,X,X,#0245ec,X,X,X,X,X,X,X,#0245ec,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,#e3db00,X,X,X,#e3db00,#e3db00,X,X,#e3db00,#e3db00,#e3db00,X,#671a00,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,X,X,#76c3ff,#76c3ff,X,X,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,X,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,#76c3ff,#76c3ff,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,X,#0245ec,X,X,X,X,X,X,#0245ec,X,#0245ec,#0245ec,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,#0245ec,#0245ec,X,X,#0245ec,#0245ec,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#e3db00,X,X,X,X,X,#e3db00,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,X,X,X,#76c3ff,X,X,X,#76c3ff,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,#76c3ff,#76c3ff,X,X,X,X,X,X,#76c3ff,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,X,#0245ec,X,X,X,X,X,X,#0245ec,#0245ec,X,#0245ec,X,#0245ec,X,X,#0245ec,#0245ec,X,X,X,#0245ec,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,#0245ec,X,X,X,#0245ec,X,X,X,X,X,#0245ec,#0245ec,#0245ec,#0245ec,X,#e3db00,X,X,#e3db00,X,#e3db00,#e3db00,#e3db00,X,#e3db00,X,#e3db00,X,#671a00,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,X,X,X,X,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,#76c3ff,X,X,X,X,X,X,X,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,X,#001106,#001106,X,X,#001106,#001106,X,#001106,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,#e3db00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,#0245ec,#0245ec,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#e3db00,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,X,#76c3ff,X,#76c3ff,X,X,X,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,X,X,X,#001106,#001106,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,X,X,X,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,#001106,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#e3db00,X,X,X,X,X,#e3db00,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,X,X,X,X,X,X,X,#76c3ff,X,#76c3ff,#76c3ff,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,X,X,X,X,X,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,X,X,#001106,#001106,#001106,X,#001106,#001106,X,#001106,#001106,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,#0245ec,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,X,#76c3ff,#76c3ff,X,#76c3ff,X,X,X,#76c3ff,#76c3ff,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,X,#76c3ff,#76c3ff,#76c3ff,X,X,X,#76c3ff,#76c3ff,X,X,X,#76c3ff,X,#76c3ff,X,X,#76c3ff,X,#76c3ff,X,#76c3ff,X,X,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,#0245ec,X,#0245ec,#0245ec,X,X,X,#0245ec,#0245ec,X,#0245ec,#0245ec,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
#7c0051,#7c0051,#7c0051,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,#76c3ff,#76c3ff,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,#76c3ff,#76c3ff,X,X,#76c3ff,X,#76c3ff,X,X,X,#76c3ff,X,X,#76c3ff,X,X,#76c3ff,X,#76c3ff,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#001106,X,X,#001106,X,X,X,X,X,#001106,X,X,X,X,X,#001106,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,X,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,#0245ec,X,#0245ec,X,X,X,X,X,#0245ec,X,#0245ec,#0245ec,X,X,X,#0245ec,#0245ec,X,#0245ec,#0245ec,X,X,X,X,X,X,#0245ec,X,X,X,X,X,#0245ec,#0245ec,#0245ec,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
